week,above_median
1,0.004571428571428572
2,0.0037142857142857142
3,0.004714285714285714
4,0.006857142857142857
5,0.008285714285714285
6,0.019428571428571427
7,0.03357142857142857
8,0.06471428571428571
9,0.14257142857142857
10,0.2872857142857143
11,0.5
12,0.657
13,0.7832857142857143
14,0.8582857142857143
15,0.903
16,0.9311428571428572
17,0.9552857142857143
18,0.9625714285714285
19,0.9698571428571429
20,0.9814285714285714
21,0.9837142857142858
22,0.9875714285714285
23,0.9885714285714285
24,0.99
25,0.9892857142857143
26,0.9875714285714285
27,0.9892857142857143
28,0.9912857142857143
29,0.9887142857142858
30,0.9875714285714285
31,0.9854285714285714
32,0.982
33,0.9742857142857143
34,0.9674285714285714
35,0.9508571428571428
36,0.9401428571428572
37,0.9152857142857143
